product_A,price_A,tier_A,product_B,price_B,tier_B,pair_sales_count,avg_buyer_score,high_intent_ratio,bundle_strategy_type
Google Light Pen Blue,2.962,Low,Google Light Pen Red,2.921,Low,22,5344.7,100,General Bundle
Google Light Pen Green,2.943,Low,Google Light Pen Red,2.921,Low,21,5583.2,100,General Bundle
Google Light Pen Blue,2.962,Low,Google Light Pen Green,2.943,Low,19,5760.6,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Flat Front Bag Grey,29.997,High,17,2093.4,100,Add-on Strategy (업셀링)
Google Heathered Pom Beanie,14.996,Low,Google Speckled Beanie Navy,19.996,Mid,15,4238.9,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google NYC Campus Mug,11.852,Low,14,5763.6,100,General Bundle
Google PNW Campus Mug,10.531,Low,Google Seattle Campus Mug,10.777,Low,14,5498.9,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen Grass Green,1.997,Low,14,6586.6,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Land & Sea Journal Set,14.997,Low,13,14694.8,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google NYC Campus Mug,11.852,Low,13,5129.9,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Metallic Notebook Set,5.998,Low,13,3912,100,General Bundle
Google LA Campus Mug,10.551,Low,Google NYC Campus Mug,11.852,Low,13,4601.1,100,General Bundle
Android Iconic Crewneck Sweatshirt,54.785,High,Google Land & Sea Journal Set,14.997,Low,12,13962.4,100,Add-on Strategy (업셀링)
Google Clear Framed Blue Shades,4.632,Low,Google Clear Framed Yellow Shades,4.615,Low,12,4119.2,100,General Bundle
Google Crew Combed Cotton Sock,16.989,Mid,Google Crew Socks,15.996,Low,12,2871.8,100,General Bundle
Android Large Removable Sticker Sheet,2.999,Low,Android SM S/F18 Sticker Sheet,2.999,Low,11,4147.8,100,General Bundle
Google LA Campus Mug,10.551,Low,Google LA Campus Sticker,1.972,Low,11,4434.3,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen Citron,1.967,Low,11,6740.8,100,General Bundle
Android Iconic Crewneck Sweatshirt,54.785,High,Android SM S/F18 Sticker Sheet,2.999,Low,10,14904,100,Add-on Strategy (업셀링)
Google Canteen Bottle Black,23.906,Mid,Google Magnet,7.77,Low,10,5538.3,100,General Bundle
Google Crewneck Sweatshirt Grey,54.899,High,Google Crewneck Sweatshirt Navy,54.971,High,10,4557.2,100,Premium Set (VIP 타겟)
Google Heathered Pom Beanie,14.996,Low,Google Speckled Beanie Grey,19.995,Mid,10,2869.8,100,General Bundle
Google NYC Campus Mug,11.852,Low,Google Seattle Campus Mug,10.777,Low,10,5991.6,100,General Bundle
Google NYC Campus Mug,11.852,Low,Google NYC Campus Zip Hoodie,54.226,High,10,5254.9,100,Add-on Strategy (업셀링)
Google Pen Citron,1.967,Low,Google Pen Grass Green,1.997,Low,10,7133.9,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Mural Sticker Sheet,2.993,Low,9,5024.7,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Cambridge Campus Mug,11.932,Low,9,5099.8,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google Seattle Campus Mug,10.777,Low,9,5858.1,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Camp Mug Ivory,12.93,Low,9,2936.6,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Laptop and Cell Phone Stickers,2.999,Low,9,4831.7,100,General Bundle
Google Crew Socks,15.996,Low,Google Crew Striped Athletic Sock,17,Mid,9,1679.5,100,General Bundle
Google NYC Campus Mug,11.852,Low,Google PNW Campus Mug,10.531,Low,9,6700.8,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen White,2,Low,9,5193.2,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen Neon Coral,1.947,Low,9,7164.7,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen Red,1.907,Low,9,6822.3,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google LA Campus Mug,10.551,Low,8,5259.5,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Seattle Campus Mug,10.777,Low,8,5487.8,100,General Bundle
Google Black Cork Journal,11.988,Low,Google KeepCup,34.233,High,8,3540.3,100,Add-on Strategy (업셀링)
Google Black Cork Journal,11.988,Low,Google Recycled Pen Black,2,Low,8,4709.2,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google NYC Campus Mug,11.852,Low,8,4917.5,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Land & Sea Cotton Cap,16.999,Mid,8,3353.4,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Heathered Pom Beanie,14.996,Low,8,2196.3,100,General Bundle
Google Campus Bike Tote Navy,10.998,Low,Google Canteen Bottle Black,23.906,Mid,8,6717.5,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Recycled Pen Black,2,Low,8,6929,100,General Bundle
Google Chicago Campus Mug,10.769,Low,Google NYC Campus Mug,11.852,Low,8,3972.9,100,General Bundle
Google Cloud Pen,2.986,Low,Google Pen White,2,Low,8,5739.8,100,General Bundle
Google Crew Socks,15.996,Low,Google Mural Socks,14.96,Low,8,3796.6,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Google Land & Sea Cotton Cap,16.999,Mid,8,3984.3,100,General Bundle
Google Kirkland Campus Mug,10.934,Low,Google Seattle Campus Mug,10.777,Low,8,6403.1,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Metallic Notebook Set,5.998,Low,8,3590.9,100,General Bundle
Google NYC Campus Mug,11.852,Low,Google NYC Campus Sticker,1.994,Low,8,4212.4,100,General Bundle
Google Navy Speckled Tee,29.997,High,Google Red Speckled Tee,29.944,High,8,2596.4,100,Premium Set (VIP 타겟)
Google Pen Bright Blue,1.998,Low,Google Pen Lilac,1.897,Low,8,6054.5,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen Red,1.907,Low,8,6429.9,100,General Bundle
Google Red Speckled Tee,29.944,High,Google Zip Hoodie F/C,59.99,High,8,1427.1,100,Premium Set (VIP 타겟)
Google Speckled Beanie Grey,19.995,Mid,Google Speckled Beanie Navy,19.996,Mid,8,2924.6,100,Volume Builder (크로스셀링)
YouTube Icon Tee Charcoal,21.983,Mid,YouTube Twill Sandwich Cap Black,13,Low,8,3130.2,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Emoji Sticker Pack,4.999,Low,7,4212,100,General Bundle
Android Super Hero 3D Framed Art,39.908,High,Android Techie 3D Framed Art,39.897,High,7,3331.4,100,Premium Set (VIP 타겟)
Google 24 oz Ring Bottle Red,6.949,Low,Google 24oz Ring Bottle Blue,6.993,Low,7,2798.6,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Chicago Campus Mug,10.769,Low,7,3609.7,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Austin Campus Tote,10.442,Low,7,4109,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Austin Campus Zip Hoodie,56.495,High,7,3015.4,100,Add-on Strategy (업셀링)
Google Badge Heavyweight Pullover Black,57.947,High,Google Crewneck Sweatshirt Navy,54.971,High,7,3045,100,Premium Set (VIP 타겟)
Google Boulder Campus Mug,10.454,Low,Google Cambridge Campus Mug,11.932,Low,7,5207.6,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google LA Campus Mug,10.551,Low,7,6793.9,100,General Bundle
Google Chicago Campus Mug,10.769,Low,Google LA Campus Mug,10.551,Low,7,4128.9,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Crew Combed Cotton Sock,16.989,Mid,7,5027.3,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,YouTube Jotter Task Pad,2.999,Low,7,4925.4,100,General Bundle
Google Crew Socks,15.996,Low,Google Perk Thermal Tumbler,19.848,Mid,7,3622,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Heathered Pom Beanie,14.996,Low,7,2744.1,100,Add-on Strategy (업셀링)
Google Land & Sea Cotton Cap,16.999,Mid,Google Super G Tumbler (Red Lid),27.863,Mid,7,7672.4,100,Volume Builder (크로스셀링)
Google Magnet,7.77,Low,Google Recycled Pen Black,2,Low,7,6724,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen White,2,Low,7,6079.3,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen Neon Coral,1.947,Low,7,8494,100,General Bundle
Google Pen Grey,1.993,Low,Google Pen White,2,Low,7,4832.1,100,General Bundle
Google Pen Lilac,1.897,Low,Google Pen Neon Coral,1.947,Low,7,5070.4,100,General Bundle
Google Pen Neon Coral,1.947,Low,Google Pen White,2,Low,7,5035,100,General Bundle
YouTube Play Mug,12.986,Low,YouTube Twill Sandwich Cap Black,13,Low,7,2966,100,General Bundle
Android Buoy Bottle,7.869,Low,Google Heathered Pom Beanie,14.996,Low,6,6594.7,100,General Bundle
Android Iconic Crewneck Sweatshirt,54.785,High,Super G Unisex Joggers,36.973,High,6,1182.6,100,Premium Set (VIP 타겟)
Android Lumberjack Pin,7.148,Low,Google Black Cork Journal,11.988,Low,6,2386,100,General Bundle
