item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Men's Discovery Lt. Rain Shell,Sale,23,489180,14388
Google Utility BackPack,Lifestyle/Bags/,302,124920,251
Google Flat Front Bag Grey,Lifestyle/Bags/,306,34920,64
YouTube Twill Sandwich Cap Black,Home/Shop by Brand/YouTube/,349,30004,39
Google Heathered Pom Beanie,Home/Apparel/Hats/,1391,28890,14
YouTube Twill Sandwich Cap Black,Home/Apparel/Hats/,1077,18551,13
Google Zip Hoodie F/C,Home/Apparel/Men's / Unisex/,1237,16140,4
Google Crewneck Sweatshirt Navy,Home/Apparel/Men's / Unisex/,1202,12925,3
Google Badge Heavyweight Pullover Black,Home/Apparel/Men's / Unisex/,1214,11310,3
Google Eco Tee Black,Home/Apparel/Men's / Unisex/,547,9724,6
Google Crewneck Sweatshirt Green,Home/Apparel/Men's / Unisex/,1032,7865,2
Super G Unisex Joggers,Home/New/,154,7696,38
Super G Unisex Joggers,Home/Apparel/Men's / Unisex/,869,7696,3
Google Navy Speckled Tee,Home/Apparel/Men's / Unisex/,1248,6900,2
Google Men's Tech Fleece Grey,Home/Apparel/Men's / Unisex/,1036,6141,2
Google F/C Long Sleeve Tee Charcoal,Home/Apparel/Men's / Unisex/,1158,6000,2
Google Zip Hoodie F/C,Home/Apparel/,537,5640,4
Google Badge Heavyweight Pullover Black,Home/Apparel/,432,4582,4
Google Sherpa Zip Hoodie Charcoal,Home/Apparel/Men's / Unisex/,435,4071,3
Google Land & Sea French Terry Sweatshirt,Home/New/,420,4070,5
Google Crewneck Sweatshirt Grey,Home/Apparel/Men's / Unisex/,523,4015,2
Google Land & Sea French Terry Sweatshirt,Home/Eco-Friendly/,189,4015,8
Google Campus Bike Eco Tee Navy,Home/Apparel/Men's / Unisex/,1094,4000,1
YouTube Standards Zip Hoodie Black,Home/Shop by Brand/YouTube/,347,3960,5
Google F/C Long Sleeve Tee Ash,Home/Apparel/Men's / Unisex/,1208,3930,1
Google Women's Puff Jacket Black,Home/Apparel/Women's/,437,3795,3
Google Women's Microfleece Jacket Black,Home/Apparel/Women's/,442,3750,3
Google Cambridge Campus Mug,Home/Campus Collection/,250,3684,5
Google Infant Charcoal Onesie,Home/Apparel/Kids/,142,3625,9
Google Incognito Zip Pack,Bags,15,3572,210
Google Crew Socks,Home/Apparel/Socks/,62,3392,47
YouTube 25 oz Gear Cap Bottle Black,Home/Shop by Brand/YouTube/,185,3375,9
Super G Unisex Joggers,Home/Apparel/,457,3293,3
Google Tee Yellow,Home/Sale/,1067,3124,1
Google Woodtop Bottle Black,Lifestyle/Drinkware/,543,3000,3
Google Small Standard Journal Navy,Home/Sale/,1002,2964,1
Google Women's Grid Zip-Up,Home/Apparel/Women's/,444,2898,2
Google Crewneck Sweatshirt Navy,Home/Apparel/,437,2860,2
Google NYC Campus Mug,Home/Campus Collection/,268,2712,4
Google Leather Strap Hat Black,Home/Apparel/Hats/,1391,2686,1
Google Eco Tee Black,Home/Apparel/,61,2486,25
Mural Food Container,"",3,2460,615
Google Leather Strap Hat Blue,Home/Apparel/Hats/,1392,2431,1
Google Crewneck Sweatshirt Grey,Men's / Unisex,51,2310,28
Google Men's Puff Jacket Black,Men's / Unisex,36,2185,47
Google Tee Green,Home/Sale/,1067,2024,1
YouTube Iconic Play Pin,Home/Shop by Brand/YouTube/,350,1984,3
Google Incognito Techpack V2,Bags,16,1936,114
Google Speckled Beanie Navy,Home/Apparel/Hats/,1392,1900,1
YouTube Icon Tee Charcoal,Home/Shop by Brand/YouTube/,349,1892,2
Google Black Tee,Men's T-Shirts/,133,1804,5
Google F/C Long Sleeve Tee Ash,Home/Apparel/,412,1620,1
Google Glass Bottle,Lifestyle/Drinkware/,540,1564,1
Google Land & Sea Cotton Cap,Home/Apparel/Hats/,1392,1530,1
Google Tee Yellow,"",4,1496,187
Google Small Standard Journal Navy,Home/Stationery/Notebooks/,201,1456,4
Android Pocket Onesie Navy,Home/Apparel/Kids/,270,1452,2
Google Sherpa Zip Hoodie Navy,Men's / Unisex,88,1449,13
Google Toddler FC Zip Hoodie,Home/Apparel/Kids/,97,1435,7
Google Land & Sea Mug,Home/New/,419,1428,2
Super G Unisex Joggers,Home/Shop by Brand/Google/,273,1406,2
Google Land & Sea Unisex Tee,Home/New/,418,1400,2
Google Mural Bottle,Lifestyle/Drinkware/,540,1368,1
Google Women's Striped L/S,Home/Sale/,1047,1363,0
Google Cup Cap Tumbler Grey,Lifestyle/Drinkware/,542,1350,1
Google Large Standard Journal Grey,Home/Stationery/Notebooks/,203,1344,3
Google Navy Speckled Tee,Home/Apparel/,389,1320,1
Google Eco Tee Black,Men's T-Shirts/,128,1276,4
Google Tee F/C Black,Sale,151,1275,4
Google Incognito Flap Pack,Bags,14,1275,64
Google Men's Puff Jacket Black,Home/Apparel/Men's / Unisex/,186,1265,2
Google Land & Sea French Terry Sweatshirt,Men's / Unisex,44,1265,15
Google Youth FC Tee Charcoal,Home/Apparel/Kids/,268,1250,2
Google Toddler FC Tee Charcoal,Home/Apparel/Kids/,267,1175,2
Google Land & Sea Women's Eco Tee,Home/New/,417,1175,1
Google Sherpa Zip Hoodie Navy,Home/Apparel/Men's / Unisex/,47,1173,9
Google Tee Red,Home/Sale/,95,1166,3
Google Cork Base Tumbler,Lifestyle/Drinkware/,548,1148,1
Google Camp Mug Ivory,Drinkware,93,1106,9
Google Land & Sea French Terry Sweatshirt,Home/Shop by Brand/Google/,269,1100,1
Google Speckled Beanie Grey,Home/Apparel/Hats/,1392,1100,1
Google Utility BackPack,Home/Shop by Brand/Google/,1,1080,1080
YouTube Crew Socks,Home/Shop by Brand/YouTube/,349,992,1
Android Iconic Crewneck Sweatshirt,Men's / Unisex,36,990,23
Google Men's Tech Fleece Grey,Men's / Unisex,6,979,98
Google Blue Stojo Cup,Home/New/,418,975,1
Android Large Trace Journal Black,Home/Sale/,988,960,0
Google F/C Long Sleeve Tee Charcoal,Men's T-Shirts/,127,960,3
YouTube Women's Favorite Tee White,Home/Sale/,1036,924,0
Google Land & Sea Unisex Tee,Men's / Unisex,80,915,5
Google F/C Long Sleeve Tee Charcoal,Home/Apparel/,300,900,1
Google Pocket Tee Grey,Men's T-Shirts/,16,899,29
Google Tee Dark Blue,Sale,104,866,6
Google Infant Hero Tee Olive,Home/Apparel/Kids/,267,850,1
Google Pocket Tee Grey,Sale,44,840,10
YouTube Leather Strap Hat Black,Home/Shop by Brand/YouTube/,349,833,1
Google Land & Sea French Terry Sweatshirt,Women's,25,825,14
Google Mens Microfleece Jacket Black,Home/Sale/,26,825,10
Google Youth Badge Tee Navy,Home/Apparel/Kids/,258,816,1
Android Pocket Tee Navy,Men's / Unisex,32,812,17
Google Lightweight Crew Sweatshirt Grey,Home/Sale/,55,806,6
Google Men's Tech Fleece Grey,Home/Apparel/,47,801,7
YouTube Standards Zip Hoodie Black,Men's / Unisex,26,780,22
Mural Food Container,Home/New/,292,779,1
Google Campus Bike Eco Tee Navy,Home/Apparel/Women's/,450,775,1
Android Iconic Mug Gray,Lifestyle/Drinkware/,545,765,1
Google Black Tee,Sale,152,765,4
Google Heather Green Speckled Tee,Home/Apparel/Women's/,440,750,1
Google Black Tee,Home/Sale/,79,726,2
Google Tee F/C Black,Home/Sale/,25,726,5
Google Red Speckled Tee,Home/Apparel/Men's / Unisex/,463,720,1
Google Navy Speckled Tee,Home/Apparel/Women's/,440,720,1
Google Packable Bag Black,Lifestyle/Bags/,34,720,21
Google Utility BackPack,Lifestyle/,1,720,720
Google Crewneck Sweatshirt Navy,"",10,715,55
YouTube Leather Strap Hat Black,Home/Apparel/Hats/,1389,714,0
Google Men's Tech Fleece Vest Charcoal,Men's / Unisex,23,711,23
Google Heathered Pom Beanie,Home/Apparel/,316,705,1
YouTube Icon Tee Grey,Home/Shop by Brand/YouTube/,349,704,1
Google Women's Striped L/S,Home/Apparel/Women's/,442,696,1
Google Dino Game Tee,Men's / Unisex,49,680,11
Google Utility Bag Grey,Lifestyle/Small Goods/,279,670,1
Google Crew Striped Athletic Sock,Home/Apparel/Socks/,111,663,3
Google Heather Green Speckled Tee,Home/Apparel/Men's / Unisex/,253,660,1
Google Women's Tech Fleece Vest Charcoal,Women's,36,660,13
Google Tee Red,Sale,109,656,4
Google Tonal Tee Spearmint,Home/Sale/,54,638,4
Google Women's Eco Tee Black,Women's,72,638,5
Google Mens Microfleece Jacket Black,Sale,31,636,12
Gift Card - $50.00,Home/Gift Cards/,3,630,105
Google F/C Long Sleeve Tee Charcoal,Women's,42,630,9
Google Clear Pen 4-Pack,Sale,60,620,8
Google Metallic Notebook Set,Home/Stationery/Notebooks/,182,618,2
Mural Food Container,Home/Eco-Friendly/,125,615,2
Noogler Android Figure,Lifestyle/Small Goods/,278,608,1
Google Land & Sea French Terry Sweatshirt,Apparel,12,605,28
Google Heather Green Speckled Tee,Men's / Unisex,47,600,10
Google Perk Thermal Tumbler,Drinkware,43,592,12
Google Black Cork Journal,Home/Stationery/Notebooks/,203,588,1
YouTube Play Mug,Home/Shop by Brand/YouTube/,350,585,1
Google Badge Heavyweight Pullover Black,Women's,42,580,8
Google Land & Sea Women's Eco Tee,Eco-Friendly,2,575,96
Google Land & Sea Journal Set,Home/Stationery/Notebooks/,202,570,2
Google Campus Bike Bottle,Lifestyle/Drinkware/,540,567,1
Google KeepCup,Drinkware,15,560,29
Google Sherpa Zip Hoodie Charcoal,Men's / Unisex,68,552,6
Google Sherpa Zip Hoodie Navy,Apparel,23,552,15
Google Tee Dark Blue,Home/Sale/,85,550,2
Google Land & Sea Women's Eco Tee,Home/Eco-Friendly/,191,550,1
Android Large Trace Journal Black,Home/Stationery/Notebooks/,140,544,2
